Bulan,Tahun,Jenis Produk,Varietas Hibrida,Volume Penjualan,Harga per Unit,Total Pendapatan Bruto,Total Pendapatan Netto,Indeks Permintaan Pasar,Biaya Transportasi,Varietas Benih,Kelas Benih,Kondisi Cuaca_Cerah,Kondisi Cuaca_Hujan,Jenis Pupuk_Jenis B,Jenis Pupuk_Jenis C,Pendapatan per Unit,Rasio Biaya Transportasi
1,2015,Sage 01,Hibrida A,0.3714285714285714,60000,0.36298292902066487,0.35022055874883035,43.92,69600,Jagung Hibrida,Benih Hibrida,True,False,False,False,0.9772617319787132,191744.55445544556
1,2015,Sage 01,Hibrida B,0.5714285714285714,60000,0.5516621743036837,0.5399456400659448,47.47,63800,Jagung Hibrida,Benih Hibrida,False,False,False,True,0.9654088050314465,115650.48859934854
1,2015,Sage 01,Hibrida C,0.08571428571428574,60000,0.0934411500449236,0.09651116160941053,31.28,39000,Jagung Hibrida,Benih Hibrida,True,False,False,True,1.0901467505241083,417375.0000000002
1,2015,Sage 02,Hibrida A,0.42857142857142855,58000,0.3908355795148247,0.37365771064474446,35.78,79000,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,True,False,0.9119496855345911,202131.03448275867
1,2015,Sage 02,Hibrida B,0.42857142857142855,58000,0.3908355795148247,0.36871184779218463,48.52,90100,Jagung Hibrida,Benih Hibrida,True,False,False,False,0.9119496855345911,230531.72413793107
1,2015,Sage 02,Hibrida C,0.6000000000000001,58000,0.5471698113207547,0.5274250323040592,39.93,81900,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,False,0.911949685534591,149679.3103448276
1,2015,Sage 03,Hibrida A,0.39999999999999997,62000,0.41509433962264153,0.410551174085461,37.39,50200,Jagung Hibrida,Benih Hibrida,True,False,True,False,1.037735849056604,120936.36363636363
1,2015,Sage 03,Hibrida B,0.45714285714285713,62000,0.47079964061096136,0.4642427482956824,31.88,53700,Jagung Hibrida,Benih Hibrida,False,False,True,False,1.029874213836478,114061.25954198473
1,2015,Sage 03,Hibrida C,0.39999999999999997,62000,0.41509433962264153,0.41603172481397316,43.42,37900,Jagung Bersari Bebas (Komposit),Benih Komposit,False,True,True,False,1.037735849056604,91304.54545454546
2,2015,Sage 01,Hibrida A,0.28571428571428575,60000,0.2821203953279424,0.2736265205186473,37.16,61500,Jagung Hibrida,Benih Hibrida,False,True,True,False,0.9874213836477983,217992.03821656058
2,2015,Sage 01,Hibrida B,0.6000000000000001,60000,0.5786163522012578,0.581517622421245,46.96,30500,Jagung Hibrida,Benih Hibrida,True,False,True,False,0.9643605870020963,52711.956521739135
2,2015,Sage 01,Hibrida C,0.45714285714285713,60000,0.4438454627133872,0.44200864412066126,32.9,43600,Jagung Hibrida,Benih Hibrida,False,False,False,True,0.9709119496855345,98232.38866396762
2,2015,Sage 02,Hibrida A,0.9142857142857144,58000,0.8337825696316262,0.817225861070267,49.51,69500,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,True,0.9119496855345911,83355.06465517242
2,2015,Sage 02,Hibrida B,0.6571428571428573,58000,0.5992812219227314,0.598360290513746,47.18,38700,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,False,False,0.9119496855345911,64577.36131934033
2,2015,Sage 02,Hibrida C,0.6285714285714286,58000,0.573225516621743,0.5546049993316402,47.92,78900,Jagung Hibrida,Benih Hibrida,True,False,True,False,0.9119496855345912,137642.16300940438
2,2015,Sage 03,Hibrida A,0.45714285714285713,62000,0.47079964061096136,0.4459742458673083,31.89,94700,Jagung Hibrida,Benih Hibrida,False,True,False,True,1.029874213836478,201147.13740458016
2,2015,Sage 03,Hibrida B,0.28571428571428575,62000,0.30368373764600176,0.2909593191641046,33.97,70600,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,False,False,1.062893081761006,232478.6982248521
2,2015,Sage 03,Hibrida C,0.2571428571428572,62000,0.2758310871518418,0.2760771732834291,35.67,42000,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,False,1.0726764500349402,152267.10097719874
3,2015,Sage 01,Hibrida A,0.17142857142857143,60000,0.17430368373764593,0.17363988771554612,37.32,45900,Jagung Hibrida,Benih Hibrida,True,False,False,True,1.0167714884696013,263333.5051546393
3,2015,Sage 01,Hibrida B,0.11428571428571427,60000,0.12039532794249774,0.10118968052399413,31.11,88500,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,False,False,1.0534591194968554,735078.3582089553
3,2015,Sage 01,Hibrida C,0.5428571428571429,60000,0.5247079964061095,0.5085327273537406,45.82,74300,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,True,0.966567361800728,141602.5684931507
3,2015,Sage 02,Hibrida A,0.6571428571428573,58000,0.5992812219227314,0.606024150069064,36.55,21500,Jagung Hibrida,Benih Hibrida,False,True,False,False,0.9119496855345911,35876.31184407796
3,2015,Sage 02,Hibrida B,0.45714285714285713,58000,0.41689128481581306,0.4148286770930803,31.06,44600,Jagung Hibrida,Benih Hibrida,True,False,False,True,0.9119496855345911,106982.32758620691
3,2015,Sage 02,Hibrida C,0.3428571428571429,58000,0.31266846361185985,0.300539143608252,44.65,69100,Jagung Hibrida,Benih Hibrida,False,False,False,False,0.9119496855345911,221000.8620689655
3,2015,Sage 03,Hibrida A,0.8571428571428572,62000,0.8607367475292004,0.8632090184021743,42.75,26300,Jagung Hibrida,Benih Hibrida,True,False,True,False,1.0041928721174003,30555.219206680584
3,2015,Sage 03,Hibrida B,0.05714285714285716,62000,0.08086253369272234,0.06095441785857508,30.06,90800,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,True,False,1.4150943396226405,1122893.3333333337
3,2015,Sage 03,Hibrida C,0.3714285714285714,62000,0.38724168912848156,0.38853985652541995,41.46,37600,Jagung Bersari Bebas (Komposit),Benih Komposit,False,True,True,False,1.042573778422835,97096.9837587007
